frame_sizes,page_faults,interrupts,disk_writes
10,107763,107763,54108
20,101363,101363,50950
30,96569,96569,48294
40,92625,92625,46385
50,89231,89231,44628
60,86191,86191,43031
70,83437,83437,41747
80,80901,80901,40572
90,78546,78546,39396
100,76332,76332,38091
