frame_sizes,page_faults,interrupts,disk_writes
10,77010,38384,38384
20,70595,35335,35335
30,66830,33460,33460
40,63784,31892,31892
50,61260,30794,30794
60,59038,29424,29424
70,57037,28272,28272
80,55234,27763,27763
90,53554,26701,26701
100,51976,26045,26045
