frame_sizes,page_faults,interrupts,disk_writes
10,73979,37012,37012
20,37645,18867,18867
30,17883,8926,8926
40,7929,3910,3910
50,4328,2132,2132
60,4212,2102,2102
70,4190,2059,2059
80,4167,2013,2013
90,4142,2018,2018
100,4065,1953,1953
