frame_sizes,page_faults,interrupts,disk_writes
10,119029,119029,59360
20,118022,118022,59251
30,117021,117021,58553
40,116018,116018,57772
50,114987,114987,57470
60,113952,113952,56828
70,112999,112999,56236
80,112007,112007,56081
90,111005,111005,55471
100,110025,110025,54633
