frame_sizes,page_faults,interrupts,disk_writes
10,98543,49075,49075
20,83088,41312,41312
30,75735,37734,37734
40,74661,37391,37391
50,74153,37196,37196
60,73513,36867,36867
70,72722,36100,36100
80,72183,35967,35967
90,71603,35847,35847
100,70809,35108,35108
