frame_sizes,page_faults,interrupts,disk_writes
10,98935,49477,49477
20,83552,41844,41844
30,75859,38011,38011
40,74690,37367,37367
50,74072,37121,37121
60,73401,36531,36531
70,72573,36410,36410
80,71996,35993,35993
90,71410,35702,35702
100,70759,35352,35352
