frame_sizes,page_faults,interrupts,disk_writes
10,72818,37079,37079
20,36731,18699,18699
30,16006,8014,8014
40,6464,3206,3206
50,3743,1824,1824
60,3687,1773,1773
70,3653,1823,1823
80,3613,1726,1726
90,3557,1784,1784
100,3529,1745,1745
