frame_sizes,page_faults,interrupts,disk_writes
10,118986,59279,59279
20,118009,58719,58719
30,116927,58746,58746
40,115976,57771,57771
50,115008,57646,57646
60,114007,56817,56817
70,113009,57008,57008
80,111990,56146,56146
90,110968,55321,55321
100,109992,54784,54784
