frame_sizes,page_faults,interrupts,disk_writes
10,98567,49253,49253
20,83090,41528,41528
30,75534,37913,37913
40,74436,37345,37345
50,73953,36900,36900
60,73344,36665,36665
70,72668,36386,36386
80,72172,35896,35896
90,71555,35645,35645
100,70887,35541,35541
