frame_sizes,page_faults,interrupts,disk_writes
10,74541,37477,37477
20,36862,18283,18283
30,16872,8378,8378
40,7556,3711,3711
50,4077,1999,1999
60,3969,1976,1976
70,3925,1922,1922
80,3921,1919,1919
90,3901,1871,1871
100,3862,1908,1908
