frame_sizes,page_faults,interrupts,disk_writes
10,118918,59658,59658
20,117911,59027,59027
30,116890,58590,58590
40,115902,57848,57848
50,114878,57359,57359
60,113873,57165,57165
70,112858,56348,56348
80,111914,55736,55736
90,110852,55363,55363
100,109910,54987,54987
